population	offset26	offset85
Ashlulm	0.0470136473913891	0.0599755350482995
Atnarko	0.061006398720863	0.0878831473819813
Azuklotz	0.0230384046857951	0.0360185052775955
Big	0.0671361144722512	0.0798845153110051
Bloomfield	0.0451863985762561	0.0561646412339537
Bowron	0.0600373702987414	0.0825161282219531
Bridge	0.0799538923654731	0.101428480309944
Canoe	0.0481887275323368	0.0602530797059581
Cayenne	0.0783785335222539	0.100950015546289
Chilliwack	0.0786574522756254	0.0957684459803058
Chutine	0.0188418765077463	0.0312927493768513
Copper	0.042047934471378	0.0497886868377008
Corbold	0.0748213870260539	0.091134394198869
Harrison	0.0705025490197447	0.0897119701011387
Henderson	0.047921620774032	0.0784072639400025
Hetta	0.0440170917570144	0.0524567455603423
Kijik	0.024568521304972	0.0354820713562312
King	0.0190016852310027	0.0302663313667558
Klukshu	0.0218337369021035	0.0304226351730777
Koeye	0.0462795827126376	0.0548381585152797
Kuthai	0.0204430893560478	0.0307301840617374
Kutlaku	0.030312464774831	0.0515624673313512
McDonell	0.0212714747150391	0.0363100954651849
Mercer	0.0418872091183524	0.0488907675530499
Nahatlatch	0.0790073850303311	0.0992744881330189
Nahlin	0.0218313368382422	0.0348200193522087
Nahwitti	0.0454315309546969	0.0531828476403964
Nanika	0.0225867636623371	0.0387662553147478
Nimpkish	0.0473991750445155	0.0590746068997214
Okanagan	0.0508458133809362	0.0699045168904622
Osoyoos	0.0476459078453215	0.0678572127793139
Pierre	0.0252014859885487	0.0668964553009922
Raft	0.0789220753483546	0.100047810611153
Sakinaw	0.0376719935911069	0.0798401268515104
Sampson	0.0759203913464039	0.0965887085382525
Shawatlan	0.0456059481737508	0.0561673685197234
Shuswap	0.0815950742105601	0.103967502685748
Silver	0.0691497179887286	0.0884142565072174
Sinta	0.0239850809460965	0.0660331531872466
Stellako	0.0283150124616758	0.0738134532199891
Taseko	0.0266311903132712	0.0748532906876557
Tatshenshini	0.0198611993069192	0.0295578875295958
Thumb	0.0178972280980464	0.0277302912972587
Tintina	0.0265596036987159	0.0682411340997297
Tsimtack	0.0461932469407062	0.0562007446192266
Tuya	0.0241606492533575	0.0693726472939438
Vernon	0.0468814342684525	0.0589176447979441
Verrett	0.0264363576620719	0.0405765887587255
Wasko	0.0682603898385177	0.0941100234919466
