Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Ashlulm_Cr,11,7.199999809,30,628.5999756,24.70000076,0.899999976,23.79999924,6.800000191,19.20000076,18.89999962,3.599999905,2193,346,65,53.29999924,970,240,240,698,2041-2060,26
Ashlulm_Cr,12.19999981,7.300000191,28.70000076,666.2000122,27.39999962,2.099999905,25.29999924,7.699999809,21.20000076,20.79999924,4.599999905,2211,361,56,53.5,974,222,222,695,2041-2060,85
Ashlulm_Cr,7.424999714,6.966666698,32.40310287,554.0327148,19.79999924,-1.700000048,21.5,3.949999809,14.26666641,14.26666641,0.900000036,2123,298,71,48.66849899,885,247,247,725,1970-2000,NA
Atnarko_R_Above_Lonesome,8.699999809,11.69999981,33.70000076,829.5999756,27.79999924,-7,34.79999924,3.200000048,19.79999924,18.89999962,-1.600000024,687,120,28,51.29999924,300,102,104,196,2041-2060,26
Atnarko_R_Above_Lonesome,10.10000038,11.80000019,32.90000153,870,30.79999924,-5.199999809,36,4.099999905,21.79999924,21.10000038,-0.400000006,692,116,26,51.59999847,304,98,98,198,2041-2060,85
Atnarko_R_Above_Lonesome,5.087500095,11.65833378,36.31879425,762.746582,22.29999924,-9.800000191,32.09999847,-1.69E-07,14.30000019,14.30000019,-4.466666698,652,106,32,46.57753372,272,102,102,201,1970-2000,NA
Azuklotz_Cr,5.199999809,10.60000038,27.20000076,959.7000122,24.70000076,-14.19999981,38.90000153,12.19999981,0.100000001,16.70000076,-7.199999809,658,79,24,30.5,208,91,196,150,2041-2060,26
Azuklotz_Cr,6.599999905,10.5,27.10000038,965.5999756,27.20000076,-11.60000038,38.79999924,7.599999905,1.100000024,18.70000076,-5.400000095,683,85,26,31.5,220,92,199,152,2041-2060,85
Azuklotz_Cr,1.3125,10.99166679,29.07848167,943.4008179,20.10000038,-17.70000076,37.80000305,7.949999809,-3.266666651,12.51666641,-10.71666622,595,66,23,28.04004669,186,87,178,144,1970-2000,NA
Silver_Cr,13.80000019,8.5,29,690.5,31.10000038,1.799999952,29.29999924,6,22.79999924,22.29999924,5.5,1823,306,38,55.90000153,788,161,170,650,2041-2060,26
Silver_Cr,15.19999981,8.600000381,27.70000076,743.4000244,34.20000076,3.200000048,31,7.699999809,25.20000076,24.60000038,6.5,1813,300,34,57,785,143,160,643,2041-2060,85
Silver_Cr,9.9375,8.225000381,31.63461494,612.1316528,24.70000076,-1.299999952,26,3.299999952,17.36666679,17.46666718,2.466666698,1719,259,52,51.2990799,730,180,197,641,1970-2000,NA
Big Creek,13,11.19999981,45.59999847,489,28,3.5,24.5,7.099999905,19.70000076,19.5,7.5,2087,345,27,67.90000153,1004,129,141,906,2041-2060,26
Big Creek,14.10000038,11.19999981,44.40000153,515.7999878,30,4.699999809,25.29999924,8.100000381,21.10000038,21.10000038,8.5,2024,334,25,67.80000305,974,116,137,865,2041-2060,85
Big Creek,9.558333397,10.6833334,46.24819565,464.4294128,23.29999924,0.200000003,23.09999847,4.533333302,15.23333359,15.48333263,4.199999809,2013,318,33,62.79708862,930,149,164,868,1970-2000,NA
Bloomfield_Cr,11.19999981,5.800000191,27.60000038,560.2999878,23,1.799999952,21.20000076,7.900000095,18.5,18.20000076,4.599999905,4609,693,137,48.20000076,1906,514,514,1404,2041-2060,26
Bloomfield_Cr,12.39999962,5.900000095,27.39999962,576.5,25,3.400000095,21.60000038,8.800000191,20.20000076,19.70000076,5.800000191,4714,731,121,49.70000076,1964,481,481,1388,2041-2060,85
Bloomfield_Cr,7.795833588,5.791666508,29.54932022,511.0437622,18.79999924,-0.800000012,19.59999847,4.866666794,14.1833334,14.21666622,1.866666675,4407,602,151,43.47868729,1719,537,678,1435,1970-2000,NA
Bowron_R,8.199999809,11.10000038,29.5,919.2000122,28.29999924,-9.5,37.79999924,2.599999905,3.200000048,19.29999924,-3.599999905,933,104,45,22.89999962,286,167,227,248,2041-2060,26
Bowron_R,9.699999809,11.10000038,29,942.2000122,31.29999924,-6.800000191,38.09999847,3.5,3.900000095,21.39999962,-1.899999976,953,110,47,25,301,169,220,255,2041-2060,85
